file,expected_bpm,standard_bpm,enhanced_bpm,enhanced_confidence,standard_error_percent,enhanced_error_percent,enhanced_corrected_error_percent
fast_electronic_160bpm_complex.wav,160.0,107.666015625,107.666015625,1.0,32.708740234375,32.708740234375,32.708740234375
fast_electronic_160bpm_simple.wav,160.0,161.4990234375,161.4990234375,1.0,0.9368896484375,0.9368896484375,0.9368896484375
moderate_100bpm_complex.wav,100.0,66.25600961538461,75.91834435096153,0.0,33.74399038461539,24.081655649038467,24.081655649038467
moderate_100bpm_simple.wav,100.0,99.38401442307692,99.38401442307692,1.0,0.6159855769230802,0.6159855769230802,0.6159855769230802
moderate_slow_80bpm_complex.wav,80.0,80.74951171875,104.30145263671875,0.0,0.9368896484375,30.376815795898438,30.376815795898438
moderate_slow_80bpm_simple.wav,80.0,80.74951171875,80.74951171875,1.0,0.9368896484375,0.9368896484375,0.9368896484375
short_120bpm.wav,120.0,117.45383522727273,117.45383522727273,1.0,2.121803977272722,2.121803977272722,2.121803977272722
slow_ballad_60bpm_complex.wav,60.0,117.45383522727273,117.45383522727273,1.0,95.75639204545455,95.75639204545455,2.121803977272722
slow_ballad_60bpm_simple.wav,60.0,60.09265988372093,60.09265988372093,1.0,0.1544331395348782,0.1544331395348782,0.1544331395348782
standard_pop_120bpm_complex.wav,120.0,80.74951171875,80.74951171875,1.0,32.708740234375,32.708740234375,32.708740234375
standard_pop_120bpm_simple.wav,120.0,117.45383522727273,117.45383522727273,1.0,2.121803977272722,2.121803977272722,2.121803977272722
tempo_doubling_120bpm.wav,120.0,117.45383522727273,117.45383522727273,1.0,2.121803977272722,2.121803977272722,2.121803977272722
triplet_feel_90bpm.wav,90.0,89.10290948275862,89.10290948275863,1.0,0.9967672413793119,0.9967672413792962,0.9967672413792962
upbeat_dance_140bpm_complex.wav,140.0,92.28515625,92.28515625,1.0,34.08203125,34.08203125,31.8359375
upbeat_dance_140bpm_simple.wav,140.0,143.5546875,143.5546875,1.0,2.5390625,2.5390625,2.5390625
very_fast_180bpm_complex.wav,180.0,117.45383522727273,117.45383522727273,1.0,34.74786931818181,34.74786931818181,30.50426136363637
very_fast_180bpm_simple.wav,180.0,89.10290948275862,89.10290948275863,1.0,50.49838362068966,50.498383620689644,0.9967672413792962
